ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Nuclei,Parent_SecratoryMembrane
3,68,717.7957746478874,391.5774647887324,68,68,68
3,69,635.2083333333334,396.4375,69,69,69
3,70,658.9375,403.1145833333333,70,70,70
3,71,58.401785714285715,400.32142857142856,71,71,71
3,72,72.53153153153153,401.86486486486484,72,72,72
3,73,1046.8907987866532,405.1304347826087,73,73,73
3,74,589.8552631578947,424.3070175438597,74,74,74
3,75,1045.624203821656,428.140127388535,75,75,75
3,76,211.6028880866426,442.3622141997593,76,76,76
3,77,591.5857142857143,432.87142857142857,77,77,77
3,78,365.53731343283584,435.2014925373134,78,78,78
3,79,922.0102040816327,446.59183673469386,79,79,79
3,80,444.7985212569316,455.6598890942699,80,80,80
3,81,125.80898876404494,455.3370786516854,81,81,81
3,82,834.827868852459,463.5245901639344,82,82,82
3,83,514.9307304785895,462.74433249370276,83,83,83
3,84,797.1183723797781,474.0628853267571,84,84,84
3,85,362.9047619047619,481.57936507936506,85,85,85
3,86,527.5168539325842,488.8164794007491,86,86,86
3,87,563.2072072072073,497.86486486486484,87,87,87
3,88,541.1833333333333,504.44166666666666,88,88,88
3,89,277.72134831460676,509.6561797752809,89,89,89
3,90,208.65194996320824,511.43340691685063,90,90,90
3,91,886.09375,526.1822916666666,91,91,91
3,92,352.25,543.6644736842105,92,92,92
3,93,360.179020979021,568.8181818181819,93,93,93
3,94,216.8538812785388,567.2557077625571,94,94,94
3,95,688.5,568.6382978723404,95,95,95
3,96,300.94117647058823,575.9457013574661,96,96,96
3,97,21.89240506329114,574.8037974683544,97,97,97
3,98,690.6448598130842,586.5514018691589,98,98,98
3,99,45.072916666666664,586.4791666666666,99,99,99
3,100,32.25268817204301,597.4408602150538,100,100,100
3,101,825.816,594.4773333333334,101,101,101
3,102,243.54,603.14,102,102,102
3,103,991.2590176515733,619.669992325403,103,103,103
3,104,260.89591078066917,616.3048327137546,104,104,104
3,105,823.2037037037037,612.895061728395,105,105,105
3,106,631.3445945945946,620.4864864864865,106,106,106
3,107,397.8181818181818,628.7792207792207,107,107,107
3,108,861.5441176470588,650.8588235294118,108,108,108
3,109,643.4473684210526,653.9649122807018,109,109,109
3,110,927.1694915254237,660.4019370460048,110,110,110
3,111,468.75482093663913,694.7279614325068,111,111,111
3,112,927.5569070373588,755.8905299739357,112,112,112
3,113,804.133971291866,782.2153110047847,113,113,113
3,114,780.5175202156335,784.4380053908355,114,114,114
3,115,839.041775456919,785.2610966057441,115,115,115
3,116,892.0798742138364,805.5893081761006,116,116,116
3,117,911.6979166666666,804.3958333333334,117,117,117
3,118,1045.6446961894953,807.0123583934088,118,118,118
3,119,1234.6307692307691,838.4461538461538,119,119,119
3,120,1186.8961038961038,838.3636363636364,120,120,120
3,121,935.5691489361702,840.7154255319149,121,121,121
3,122,1036.7906976744187,859.5,122,122,122
3,123,981.4067796610169,863.6186440677966,123,123,123
3,124,1064.46875,871.9479166666666,124,124,124
3,125,990.9318181818181,872.6818181818181,125,125,125
3,126,853.8070175438596,881.9035087719299,126,126,126
3,127,1077.0,883.9823943661971,127,127,127
3,128,1015.8921161825726,894.445366528354,128,128,128
3,129,927.7450980392157,896.0980392156863,129,129,129
3,130,938.7816091954023,891.9310344827586,130,130,130
3,131,1104.6754385964912,912.3157894736842,131,131,131
3,132,807.1094527363184,921.2338308457712,132,132,132
3,133,626.1677852348994,925.2147651006711,133,133,133
3,134,573.5925925925926,927.3333333333334,134,134,134
3,135,1039.1363636363637,928.0681818181819,135,135,135
3,136,1049.5148514851485,929.990099009901,136,136,136
3,137,1163.504424778761,932.3407079646017,137,137,137
3,138,1017.3891891891892,947.3783783783783,138,138,138
3,139,1068.5545454545454,955.290909090909,139,139,139
3,140,524.8656716417911,948.3955223880597,140,140,140
3,141,893.9793103448276,940.2413793103449,141,141,141
3,142,920.4553314121038,954.1613832853026,142,142,142
3,143,682.5944333996024,953.3996023856859,143,143,143
3,144,1045.7444444444445,962.4222222222222,144,144,144
3,145,1011.5773195876288,994.1752577319587,145,145,145
3,146,1061.1234567901236,987.0617283950618,146,146,146
3,147,1143.7058823529412,994.8,147,147,147
3,148,966.5738636363636,1004.0454545454545,148,148,148
4,1,717.7434094903339,13.796133567662565,1,1,1
4,2,455.3888888888889,18.22222222222222,2,2,2
4,3,793.983552631579,20.799342105263158,3,3,3
