ImageNumber,ObjectNumber,Children_PlasmaMembrane_Count,Children_SecratoryMembrane_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,91,1,1,1080.4104683195592,437.8457300275482,0,91
1,92,1,1,863.6360294117648,456.39338235294116,0,92
1,93,1,1,1079.1295045045044,458.0168918918919,0,93
1,94,1,1,1162.5645863570392,452.8359941944848,0,94
1,95,1,1,851.2349570200573,464.134670487106,0,95
1,96,1,1,804.3480885311872,465.45875251509057,0,96
1,97,1,1,800.9550264550264,479.6084656084656,0,97
1,98,1,1,1138.0931899641578,476.5376344086022,0,98
1,99,1,1,198.28793103448277,483.8965517241379,0,99
1,100,1,1,1134.847619047619,486.25079365079364,0,100
1,101,1,1,1039.3934108527133,492.52131782945736,0,101
1,102,1,1,1004.3865979381443,493.4845360824742,0,102
1,103,1,1,545.8333333333334,499.0233333333333,0,103
1,104,1,1,1014.8248175182482,497.68126520681267,0,104
1,105,1,1,738.937984496124,513.0332225913621,0,105
1,106,1,1,551.12441314554,516.3920187793427,0,106
1,107,1,1,981.575719649562,518.9073842302879,0,107
1,108,1,1,164.7798861480076,528.9051233396584,0,108
1,109,1,1,979.5813953488372,549.0038759689922,0,109
1,110,1,1,476.4334600760456,552.4220532319391,0,110
1,111,1,1,831.4088669950739,555.0607553366174,0,111
1,112,1,1,463.0557184750733,556.1906158357772,0,112
1,113,1,1,777.2884615384615,554.3557692307693,0,113
1,114,1,1,777.25,573.1243386243386,0,114
1,115,1,1,908.014953271028,569.8579439252336,0,115
1,116,1,1,399.4657534246575,585.8904109589041,0,116
1,117,1,1,423.1458333333333,582.3078703703703,0,117
1,118,1,1,885.2703777335984,596.6341948310139,0,118
1,119,1,1,699.0194552529183,612.6835278858625,0,119
1,120,1,1,794.5134649910233,623.0053859964094,0,120
1,121,1,1,886.3639774859287,627.4202626641651,0,121
1,122,1,1,781.1557632398753,635.8224299065421,0,122
1,123,1,1,856.2331511839709,674.952641165756,0,123
1,124,1,1,1155.7348242811502,680.6549520766773,0,124
1,125,1,1,1185.0567010309278,682.7646048109966,0,125
1,126,1,1,1145.595,689.83,0,126
1,127,1,1,460.2448979591837,761.170918367347,0,127
1,128,1,1,996.5418604651163,790.7976744186046,0,128
1,129,1,1,425.34451901565996,797.6912751677852,0,129
1,130,1,1,374.8294930875576,796.5821812596006,0,130
1,131,1,1,99.53700516351118,807.3855421686746,0,131
1,132,1,1,489.4673366834171,811.0217755443886,0,132
1,133,1,1,393.1328244274809,834.9893129770992,0,133
1,134,1,1,245.97258297258298,841.6883116883117,0,134
1,135,1,1,402.74202898550726,882.5942028985507,0,135
1,136,1,1,395.36199095022624,896.920814479638,0,136
1,137,1,1,343.8632075471698,971.5062893081761,0,137
2,1,1,1,237.22285714285715,14.388571428571428,0,1
2,2,1,1,1003.9139784946236,18.43010752688172,0,2
2,3,1,1,781.3730650154798,18.60061919504644,0,3
2,4,1,1,210.97235023041475,22.25115207373272,0,4
2,5,1,1,234.27927927927928,24.77177177177177,0,5
2,6,1,1,1003.1656050955414,27.1656050955414,0,6
2,7,1,1,1026.8206896551724,45.39310344827586,0,7
2,8,1,1,473.18735891647856,49.48532731376975,0,8
2,9,1,1,963.728285077951,46.605790645879736,0,9
2,10,1,1,1013.2,55.00615384615384,0,10
2,11,1,1,596.4405063291139,54.28860759493671,0,11
2,12,1,1,467.1513157894737,65.16447368421052,0,12
2,13,1,1,954.4056795131846,66.51521298174443,0,13
2,14,1,1,158.73626373626374,77.43296703296703,0,14
2,15,1,1,603.4849445324882,76.62440570522979,0,15
2,16,1,1,949.2366589327146,84.4060324825986,0,16
2,17,1,1,1190.4838095238094,85.98095238095237,0,17
2,18,1,1,87.82112068965517,121.6875,0,18
2,19,1,1,586.1579778830964,135.6176935229068,0,19
2,20,1,1,1235.2479338842975,133.53099173553719,0,20
2,21,1,1,1170.8775510204082,150.69591836734693,0,21
2,22,1,1,175.3123595505618,154.46741573033708,0,22
2,23,1,1,824.8205128205128,161.98224852071007,0,23
2,24,1,1,1013.5708245243129,163.39323467230443,0,24
2,25,1,1,126.07675438596492,168.81359649122808,0,25
2,26,1,1,872.1047008547008,173.48290598290598,0,26
2,27,1,1,1147.2828054298643,183.78733031674207,0,27
2,28,1,1,282.86569872958256,204.82214156079854,0,28
2,29,1,1,183.75177304964538,211.17730496453902,0,29
2,30,1,1,226.72694610778444,217.73652694610777,0,30
2,31,1,1,1044.9344608879492,221.57082452431288,0,31
2,32,1,1,1194.8821362799263,230.52854511970534,0,32
2,33,1,1,1172.5480984340045,229.40044742729307,0,33
2,34,1,1,955.126923076923,231.65576923076924,0,34
